,title,country,genre,actors,director,time,description,score
0,Бременские музыканты ,['Россия'],"['приключения', 'семейный', 'фэнтези', 'комедия']","['Тихон Жизневский', 'Валентина Ляпина', 'Роман Курцын']",Алексей Нужный,116,"Трубадур и его друзья-самозванцы — Пес, Кошка, Осел и самовлюбленный Петух — объединились, чтобы совершить подвиг. Бродячие музыканты во главе с новым лидером снова сплотятся, чтобы вернуть смех и радость на мрачные улицы Бремена. Прежде всего они должны рассмешить дочь Короля, но встреча с Принцессой грозит опасным приключением. Против Трубадура и его друзей — коварные враги, интриги и ловушки, но за любовь надо сражаться. А тут еще Принцесса сбежала из дворца. В одном клубке — преступные схемы Разбойников, интриги Сыщика, капризы и тайны королевской семейки, но веселые музыканты с неутомимым Трубадуром заставят всех плясать под свою дудку. На что готовы Бременские музыканты ради подвига?",7.1
1,По щучьему велению ,['Россия'],"['фэнтези', 'приключения', 'семейный']","['Никита Кологривый', 'Мила Ершова', 'Алина Алексеева']",Александр Войтинский,115,"Если ты идешь на рыбалку — будь готов к тому, что вытянешь рыбу своей мечты, волшебную Щуку, которая может исполнить три любых твоих желания. Только Емеля спустил два желания на ветер, а третье решил приберечь. Поэтому, чтобы добиться руки царской дочери Анфисы, придется ему действовать без волшебной силы, самому. А помогать ему будет Щука, которая без своей шкурки предстает обычной девушкой Василисой. Вместе им предстоит найти скатерть-самобранку, встретиться с Котом Баюном, отправиться в мрачное царство Кощея и понять, что настоящее чудо — это быть с тем, кого любишь.",7.8
2,Иван Васильевич меняет всё ,['Россия'],"['комедия', 'фантастика', 'приключения', 'слова']","['Тимур Батрутдинов', 'Демис Карибидис', 'Максим Лагашкин']",Миша Семичев,106,"Шурик пытается с помощью машины времени вернуть домой царя Ивана Грозного. Но VPN, на котором работает чудо-машина, постоянно ломается и перемещает горе-изобретателя и царя в разные страны и времена.",6.6
3,Триггер. Фильм ,['Россия'],['драма'],"['Максим Матвеев', 'Ирина Старшенбаум', 'Виктория Маслова']",Александра Ремизова,99,"После драматичных событий — бывшая жена осуждена за убийство, отец неизлечимо болен, возлюбленная ушла — Артём Стрелецкий решает начать всё заново: переезжает к морю, туда, где сам был счастлив в детстве, устраивается работать барменом и знакомится с Майей, которая тоже психолог. Она и поможет Стрелецкому посмотреть на себя с другого ракурса и проработать собственные триггеры.",6.0
4,Три богатыря и Пуп Земли ,['Россия'],"['мультфильм', 'приключения', 'семейный']","['Олег Куликович', 'Валерий Соловьев', 'Дмитрий Быковский-Ромашов']",Константин Феоктистов,85,"По сказкам мы знаем, что было давным-давно, но что было еще давным-давнее? Трем богатырям предстоит узнать ответ на этот вопрос, хоть они его и не задавали. Тут такое началось, что игогошеньки! Горыныч вдруг находит динозаврика, а Алеша Попович с Князем и конем Юлием буквально проваливаются сквозь землю. Теперь надо срочно понять, как вернуть их назад в будущее. А главное, узнать, кто или что такое загадочный Пуп Земли.",5.6
5,Холоп ,['Россия'],"['комедия', 'мелодрама']","['Милош Бикович', 'Александра Бортич', 'Александр Самойленко']",Клим Шипенко,109,"27-летний московский мажор Григорий ошалел от безнаказанности. Богатый папа стабильно его отмазывает, да так, что уже обновил автопарк и оборудование отделению полиции, где служит начальником его друг. После очередной выходки терпение отца иссякает, и он обращается к психологу, практикующему шоковые методы воздействия на пациентов.",7.0
6,Мальчик и птица ,['Япония'],"['аниме', 'мультфильм', 'драма', 'фэнтези', 'слова']","['Сома Сантоки', 'Аимён', 'Кэйко Такэсита']",Хаяо Миядзаки,124,"Мальчик Махито сильно тоскует по своей матери и решает отправиться в рискованное путешествие в потусторонний мир. В иной реальности исход неминуем, а жизнь обретает новое начало.",7.7
7,Тёща ,['Россия'],['комедия'],"['Лариса Гузеева', 'Гарик Харламов', 'Настасья Самбурская']",Аскар Узабаев,98,"Ольга Николаевна — волевая женщина и начальница ЖКХ, которая вполне довольна своей жизнью. Она хозяйка дома и на работе, полностью контролирует своего мужа Романа Павловича и оберегает дочь Варю. Единственный, кто не вписывается в её счастливую картину мира, — это зять Виктор, от которого на днях должна родить горячо любимая дочка. И вот однажды шквал взаимных претензий становится так велик, что прямо на семейном празднике ситуация выходит из-под контроля.",6.0
8,Оппенгеймер ,['США'],"['биография', 'драма', 'история', 'слова']","['Киллиан Мерфи', 'Эмили Блант', 'Мэтт Дэймон']",Кристофер Нолан,180,"История жизни американского физика-теоретика Роберта Оппенгеймера, который во времена Второй мировой войны руководил Манхэттенским проектом — секретными разработками ядерного оружия.",8.2
9,Убийцы цветочной луны ,['США'],"['драма', 'криминал', 'история', 'слова']","['Леонардо ДиКаприо', 'Роберт Де Ниро', 'Лили Гладстоун']",Мартин Скорсезе,206,"Вскоре после Первой мировой Эрнест Беркхарт, отслуживший во Франции поваром, приезжает в Оклахому, где находится крупная резервация индейцев племени осейдж, внезапно разбогатевших из-за обнаруженной на их земле нефти. Там живёт его дядя Уильям Хейл по прозвищу Король — друг индейцев и большой человек. Король убеждает Эрнеста посвататься к Молли Кайл, молодой женщине из зажиточной индейской семьи. Идея состоит в том, чтобы земельные права этой семьи со временем перешли к Беркхарту (читай к Хейлу), а для этого всего лишь должны умереть мама Молли, её сёстры и она сама.",7.2
10,Солтберн ,['США'],"['драма', 'слова']","['Барри Кеоган', 'Джейкоб Элорди', 'Арчи Мадекве']",Эмиральд Феннел,131,"2006 год. Невзрачный очкарик Оливер поступает в Оксфорд, где, не имея ни обаяния, ни денег, вынужден общаться только с таким же ботаном, как и он сам. Однажды Оливер случайно помогает, затем и заводит дружбу с однокурсником Феликсом — популярным красавцем из аристократической семьи. Растроганный рассказами о трудном детстве нового друга Феликс приглашает его на летние каникулы в родовое поместье Солтберн — настоящий дворец, где скучают его родители, родственники и приживалы.",7.2
11,Гарри Поттер и философский камень ,['Великобритания'],"['фэнтези', 'приключения', 'семейный', 'слова']","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон']",Крис Коламбус,152,"Жизнь десятилетнего Гарри Поттера нельзя назвать сладкой: родители умерли, едва ему исполнился год, а от дяди и тёти, взявших сироту на воспитание, достаются лишь тычки да подзатыльники. Но в одиннадцатый день рождения Гарри всё меняется. Странный гость, неожиданно появившийся на пороге, приносит письмо, из которого мальчик узнаёт, что на самом деле он - волшебник и зачислен в школу магии под названием Хогвартс. А уже через пару недель Гарри будет мчаться в поезде Хогвартс-экспресс навстречу новой жизни, где его ждут невероятные приключения, верные друзья и самое главное — ключ к разгадке тайны смерти его родителей.",8.3
12,Ёлки 10 ,['Россия'],['комедия'],"['Елена Валюшкина', 'Галина Польских', 'Юрий Кузнецов']",Дамир Мифтахов,90,"В новогоднюю ночь всегда есть место чуду, даже если ты вдруг перестал в него верить. Геннадьич, коротающий свой век в доме престарелых под Санкт-Петербургом, обретёт свою настоящую семью. Начинающей блогерше Ларисе из Тюмени предстоит узнать, на что ради своих близких готов решиться её супруг. Марине из Татарстана — научиться любить то, что действительно важно для её мужа. А девушка-геймерша по имени Таня из Нижнего Новгорода поймёт, что настоящая любовь — это совсем не игра. Ведь в самую волшебную ночь года каждый имеет шанс обрести своё персональное счастье.",4.1
13,Вонка ,['США'],"['мюзикл', 'фэнтези', 'комедия', 'приключения', 'семейный', 'слова']","['Тимоти Шаламе', 'Колин О’Брайэн', 'Кала Лэйн']",Пол Кинг,116,"Мечтая открыть магазин в городе, известном своим шоколадом, молодой и бедный Вилли Вонка обнаруживает, что индустрией управляет картель жадных шоколатье.",7.4
14,Дворец ,['Италия'],"['комедия', 'слова']","['Оливер Мазуччи', 'Микки Рурк', 'Фанни Ардан']",Роман Полански,100,"31 декабря 1999 года. Роскошный отель в Швейцарии и его гости-миллионеры готовятся к самому долгожданному Новому году. Впереди ночь, полная самых разных причуд, пороков и странностей богатых и знаменитых.",6.0
15,Феррари ,['США'],"['драма', 'биография', 'история', 'слова']","['Адам Драйвер', 'Пенелопа Крус', 'Шейлин Вудли']",Майкл Манн,130,"1957 год. После утраты сына семейная жизнь экс-гонщика Энцо Феррари переживает кризис, а над знаменитой итальянской Скудерией нависла угроза банкротства. Чтобы круто поменять свою жизнь, он принимает участие в грандиозной гонке на выносливость Mille Miglia.",6.7
16,Голодные игры: Баллада о змеях и певчих птицах ,['США'],"['фантастика', 'боевик', 'триллер', 'драма', 'приключения', 'военный', 'слова']","['Том Блайт', 'Рэйчел Зеглер', 'Питер Динклэйдж']",Фрэнсис Лоуренс,157,"До того как стать деспотичным президентом Панэма, молодой Кориолан Сноу был последней надеждой своего увядающего рода — некогда великой династии, впавшей в немилость послевоенного Капитолия. Накануне десятых ежегодных Голодных игр Сноу назначают наставником Люси Грей Бэйрд — трибута дистрикта 12. Постепенно девушка привлекает все больше внимание Панэма, становясь фавориткой грядущего соревнования. Готовый на всё, чтобы вернуть своей семье былое величие, Сноу решает обратить ситуацию с Люси в свою пользу. Начинается гонка со временем, которая покажет, кто певчая птица, а кто — змея.",7.3
17,Наполеон ,['США'],"['биография', 'военный', 'драма', 'история', 'слова']","['Хоакин Феникс', 'Ванесса Кирби', 'Тахар Рахим']",Ридли Скотт,158,История тяжёлого пути Бонапарта к власти через призму его изменчивых отношений с любовью всей жизни — Жозефиной.,6.4
18,Кентавр ,['Россия'],"['триллер', 'драма', 'криминал']","['Юра Борисов', 'Анастасия Талызина', 'Сергей Гилев']",Кирилл Кемниц,101,"Таксист Саша предпочитает работать по ночам, когда нет пробок и, как он считает, люди раскрываются с другой стороны. Очередная его клиентка — эскортница Лиза — проникается к парню симпатией и просит покатать её по делам. Ночь только начинается, и, кажется, обоим есть, что скрывать.",7.5
19,Оставь мир позади ,['США'],"['триллер', 'драма', 'фантастика', 'слова']","['Джулия Робертс', 'Махершала Али', 'Итан Хоук']",Сэм Эсмейл,140,"Семья из четырёх человек снимает на выходные шикарный дом с бассейном на побережье недалеко от Нью-Йорка. Расслабленный отдых омрачают некоторые странности: прямо в пляж врезается здоровенный танкер, отключается мобильная связь и интернет, не работает телевидение, а посреди ночи на пороге появляется хозяин дома с дочерью и просит пустить их переночевать, так как в Нью-Йорке произошло массовое отключение электричества. Явно что-то происходит, но никто не понимает, что именно.",6.7
